Period 1 	 [2, 33] 0.50 days. [1] R: 0
Period 1 	 [23, 24, 33, 37, 39] 0.95 days. [1] R: 0
Period 1 	 [25, 24, 33, 6, 59] 1.21 days. [1] R: 0
Period 1 	 [25, 24, 33, 29, 28] 1.13 days. [1] R: 0
Period 1 	 [75, 24, 33, 12, 72] 0.94 days. [1] R: 0
Period 1 	 [29, 33, 6, 58] 0.91 days. [1] R: 0
Period 1 	 [29, 33, 24] 0.86 days. [1] R: 0
Period 1 	 [29, 33, 24, 77] 0.86 days. [1] R: 0
Period 1 	 [29, 30] 0.17 days. [1] R: 0
Period 1 	 [32, 29, 33, 37, 39] 0.78 days. [1] R: 0
Period 1 	 [32, 29, 33, 37, 87] 0.66 days. [1] R: 0
Period 1 	 [32, 29, 33, 49, 98] 0.89 days. [1] R: 0
Period 1 	 [37, 33, 12, 71] 0.43 days. [1] R: 0
Period 1 	 [37, 96] 0.12 days. [1] R: 0
Period 1 	 [34, 37, 33, 6, 59] 0.74 days. [1] R: 0
Period 1 	 [35, 37, 33] 0.30 days. [1] R: 0
Period 1 	 [36, 37, 33, 6, 66] 0.75 days. [1] R: 0
Period 1 	 [36, 37, 33, 19, 22] 0.62 days. [1] R: 0
Period 1 	 [38, 37, 33, 2, 57] 0.85 days. [1] R: 0
Period 1 	 [38, 37, 33, 6, 58] 0.96 days. [1] R: 0
Period 1 	 [38, 37, 33, 12, 72] 0.62 days. [1] R: 0
Period 1 	 [38, 37, 33, 19, 17] 0.79 days. [1] R: 0
Period 1 	 [38, 37, 87] 0.19 days. [1] R: 0
Period 1 	 [40, 37, 33, 29, 30] 0.65 days. [1] R: 0
Period 1 	 [79, 37, 33, 49, 97] 0.69 days. [1] R: 0
Period 1 	 [80, 37, 33, 6, 59] 0.85 days. [1] R: 0
Period 1 	 [83, 37, 84] 0.11 days. [1] R: 0
Period 1 	 [85, 37, 33, 29, 27] 0.63 days. [1] R: 0
Period 1 	 [85, 37, 33, 49, 97] 0.66 days. [1] R: 0
Period 1 	 [88, 37, 33] 0.27 days. [1] R: 0
Period 1 	 [88, 37, 41] 0.18 days. [1] R: 0
Period 1 	 [49, 33, 12, 71] 0.65 days. [1] R: 0
Period 1 	 [49, 33, 24, 77] 0.95 days. [1] R: 0
Period 1 	 [49, 33, 24, 78] 0.99 days. [1] R: 0
Period 1 	 [42, 49, 33, 6, 59] 0.95 days. [1] R: 0
Period 1 	 [42, 49, 33, 37, 41] 0.73 days. [1] R: 0
Period 1 	 [42, 49, 101] 0.12 days. [1] R: 0
Period 1 	 [44, 49, 33, 29, 30] 0.87 days. [1] R: 0
Period 1 	 [48, 49, 33, 19, 22] 1.01 days. [1] R: 0
Period 1 	 [48, 49, 33, 37, 84] 0.82 days. [1] R: 0
Period 1 	 [50, 49, 33, 12] 0.76 days. [1] R: 0
Period 1 	 [50, 49, 33] 0.49 days. [1] R: 0
Period 1 	 [51, 49, 100] 0.10 days. [1] R: 0
Period 1 	 [52, 49, 33, 12, 72] 0.77 days. [1] R: 0
Period 1 	 [52, 49] 0.11 days. [1] R: 0
Period 1 	 [52, 49, 100] 0.11 days. [1] R: 0
Period 1 	 [53, 49, 33, 6, 66] 0.98 days. [1] R: 0
Period 1 	 [53, 49, 100] 0.11 days. [1] R: 0
Period 1 	 [54, 49, 33, 6, 66] 0.97 days. [1] R: 0
Period 1 	 [54, 49, 33] 0.48 days. [1] R: 0
Period 2 	 [2, 33, 37, 34] 0.69 days. [1] R: 0
Period 2 	 [3, 2, 33, 37, 79] 0.86 days. [1] R: 0
Period 2 	 [4, 2, 0] 0.27 days. [1] R: 0
Period 2 	 [6, 7] 0.14 days. [1] R: 1
Period 2 	 [8, 6, 33, 37, 82] 0.91 days. [1] R: 0
Period 2 	 [59, 6, 7] 0.15 days. [1] R: 3
Period 2 	 [60, 6, 7] 0.15 days. [1] R: 0
Period 2 	 [66, 6, 33, 37, 83] 0.75 days. [1] R: 4
Period 2 	 [66, 6, 33, 49, 51] 0.97 days. [1] R: 4
Period 2 	 [69, 6, 5] 0.41 days. [1] R: 2
Period 2 	 [12, 33, 6, 67] 0.74 days. [1] R: 1
Period 2 	 [12, 33, 29, 28] 0.64 days. [1] R: 1
Period 2 	 [12, 33, 49, 42] 0.67 days. [1] R: 1
Period 2 	 [12, 33, 49, 53] 0.66 days. [1] R: 1
Period 2 	 [16, 12, 33, 6, 7] 0.95 days. [1] R: 1
Period 2 	 [70, 12, 33, 2, 57] 0.87 days. [1] R: 0
Period 2 	 [71, 12, 11] 0.21 days. [1] R: 2
Period 2 	 [71, 12, 33, 49, 42] 0.77 days. [1] R: 2
Period 2 	 [72, 12, 11] 0.21 days. [1] R: 5
Period 2 	 [19, 33, 37, 80] 0.58 days. [1] R: 0
Period 2 	 [17, 19, 33, 49, 42] 0.95 days. [1] R: 2
Period 2 	 [18, 19, 33, 37, 40] 0.56 days. [1] R: 0
Period 2 	 [22, 19, 33, 2, 1] 0.96 days. [1] R: 3
Period 2 	 [22, 19, 33, 37, 40] 0.64 days. [1] R: 3
Period 2 	 [22, 19, 33, 49, 42] 0.86 days. [1] R: 3
Period 2 	 [24, 33, 49, 50] 0.95 days. [1] R: 3
Period 2 	 [24, 33, 49, 52] 0.95 days. [1] R: 3
Period 2 	 [23, 24, 33, 37, 82] 0.83 days. [1] R: 0
Period 2 	 [77, 24, 33, 6, 7] 1.15 days. [1] R: 2
Period 2 	 [78, 24, 33, 37, 40] 0.89 days. [1] R: 3
Period 2 	 [78, 24, 33, 37, 83] 0.87 days. [1] R: 3
Period 2 	 [29, 33, 6, 7] 0.79 days. [1] R: 1
Period 2 	 [26, 29, 33, 6] 0.91 days. [1] R: 2
Period 2 	 [30, 29, 33, 6, 7] 0.96 days. [1] R: 5
Period 2 	 [30, 29, 33, 49, 42] 0.87 days. [1] R: 5
Period 2 	 [30, 29, 33, 49, 53] 0.86 days. [1] R: 5
Period 2 	 [37, 33, 6, 68] 0.66 days. [1] R: 0
Period 2 	 [33, 6, 7] 0.49 days. [1] R: 9
Period 2 	 [33, 19, 74] 0.28 days. [1] R: 9
Period 2 	 [33, 37, 39] 0.29 days. [1] R: 9
Period 2 	 [33, 49, 51] 0.38 days. [1] R: 9
Period 2 	 [33, 49, 53] 0.39 days. [1] R: 9
Period 2 	 [41, 37, 33, 2, 57] 0.83 days. [1] R: 5
Period 2 	 [41, 37, 33, 6, 7] 0.82 days. [1] R: 5
Period 2 	 [41, 37, 33, 12, 11] 0.70 days. [1] R: 5
Period 2 	 [41, 37, 33, 19, 74] 0.61 days. [1] R: 5
Period 2 	 [41, 37, 40] 0.19 days. [1] R: 5
Period 2 	 [41, 37, 79] 0.20 days. [1] R: 5
Period 2 	 [41, 37, 80] 0.31 days. [1] R: 5
Period 2 	 [41, 37, 33, 49, 52] 0.72 days. [1] R: 5
Period 2 	 [41, 37, 33, 49, 105] 0.71 days. [1] R: 5
Period 2 	 [87, 37, 33, 2, 57] 0.77 days. [1] R: 5
Period 2 	 [87, 37, 33, 6, 7] 0.76 days. [1] R: 5
Period 2 	 [87, 37, 34] 0.14 days. [1] R: 5
Period 2 	 [87, 37, 33, 49, 42] 0.67 days. [1] R: 5
Period 2 	 [49, 33, 12, 14] 0.77 days. [1] R: 1
Period 2 	 [44, 49, 33, 2, 1] 1.00 days. [1] R: 0
Period 2 	 [44, 49, 33, 6, 7] 0.99 days. [1] R: 0
Period 2 	 [44, 49, 33, 6, 67] 0.97 days. [1] R: 0
Period 2 	 [97, 49, 33, 2, 56] 1.00 days. [1] R: 3
Period 2 	 [97, 49, 33, 6, 7] 0.99 days. [1] R: 3
Period 2 	 [97, 49, 33, 37, 40] 0.68 days. [1] R: 3
Period 2 	 [97, 49, 33, 37, 89] 0.75 days. [1] R: 3
Period 2 	 [97, 49, 52] 0.13 days. [1] R: 3
Period 2 	 [98, 49, 33, 6, 67] 0.97 days. [1] R: 3
Period 2 	 [98, 49, 33, 19, 73] 0.79 days. [1] R: 3
Period 2 	 [98, 49, 33, 19, 74] 0.78 days. [1] R: 3
Period 2 	 [99, 49, 33, 12, 13] 0.82 days. [1] R: 1
Period 3 	 [1, 2, 0] 0.13 days. [1] R: 7
Period 3 	 [1, 2, 33, 37, 83] 0.76 days. [1] R: 7
Period 3 	 [1, 2, 33, 49, 100] 0.98 days. [1] R: 7
Period 3 	 [56, 2, 33, 12, 70] 0.87 days. [1] R: 1
Period 3 	 [57, 2, 33, 12, 15] 0.97 days. [1] R: 6
Period 3 	 [5, 6] 0.28 days. [1] R: 1
Period 3 	 [7, 6, 33, 19] 0.87 days. [1] R: 11
Period 3 	 [7, 6, 33, 19, 21] 0.97 days. [1] R: 11
Period 3 	 [7, 6, 33, 37, 83] 0.75 days. [1] R: 11
Period 3 	 [10, 6, 33, 49] 0.95 days. [1] R: 0
Period 3 	 [10, 6, 33, 49, 100] 0.95 days. [1] R: 0
Period 3 	 [58, 6, 33, 19, 18] 0.99 days. [1] R: 4
Period 3 	 [58, 6, 33, 37, 96] 0.90 days. [1] R: 4
Period 3 	 [59, 6] 0.11 days. [1] R: 4
Period 3 	 [59, 6, 33, 12, 71] 0.82 days. [1] R: 4
Period 3 	 [61, 6, 33, 12] 0.85 days. [1] R: 2
Period 3 	 [61, 6, 33, 29] 0.88 days. [1] R: 2
Period 3 	 [67, 6, 62] 0.16 days. [1] R: 3
Period 3 	 [67, 6, 33, 37, 96] 0.75 days. [1] R: 3
Period 3 	 [67, 6, 33, 49, 102] 0.96 days. [1] R: 3
Period 3 	 [67, 6, 33, 49, 105] 0.95 days. [1] R: 3
Period 3 	 [68, 6, 33, 12, 70] 0.87 days. [1] R: 1
Period 3 	 [68, 6, 33, 49, 100] 0.98 days. [1] R: 1
Period 3 	 [69, 6, 33, 19] 0.96 days. [1] R: 3
Period 3 	 [11, 12, 33, 6, 66] 0.96 days. [1] R: 3
Period 3 	 [11, 12, 33, 29] 0.77 days. [1] R: 3
Period 3 	 [13, 12, 33, 49, 99] 0.82 days. [1] R: 1
Period 3 	 [72, 12, 33, 6, 65] 0.87 days. [1] R: 5
Period 3 	 [17, 19, 18] 0.27 days. [1] R: 3
Period 3 	 [22, 19, 20] 0.27 days. [1] R: 4
Period 3 	 [22, 19, 33] 0.46 days. [1] R: 4
Period 3 	 [74, 19, 33, 6] 0.83 days. [1] R: 3
Period 3 	 [74, 19, 33, 12] 0.65 days. [1] R: 3
Period 3 	 [74, 19, 33, 29] 0.68 days. [1] R: 3
Period 3 	 [23, 24, 33, 29] 0.96 days. [1] R: 0
Period 3 	 [77, 24, 33, 37, 92] 0.92 days. [1] R: 2
Period 3 	 [28, 29, 33, 37, 80] 0.77 days. [1] R: 2
Period 3 	 [30, 29, 33, 49] 0.85 days. [1] R: 6
Period 3 	 [35, 37, 33, 12, 16] 0.66 days. [1] R: 0
Period 3 	 [36, 37, 33, 2, 0] 0.78 days. [1] R: 0
Period 3 	 [36, 37, 33, 24, 76] 0.83 days. [1] R: 0
Period 3 	 [36, 37, 92] 0.20 days. [1] R: 0
Period 3 	 [38, 37, 33, 49] 0.73 days. [1] R: 0
Period 3 	 [39, 37, 33, 29, 31] 0.91 days. [1] R: 5
Period 3 	 [39, 37, 33, 49] 0.77 days. [1] R: 5
Period 3 	 [39, 37, 33, 49, 55] 0.83 days. [1] R: 5
Period 3 	 [39, 37, 33, 49, 103] 0.78 days. [1] R: 5
Period 3 	 [40, 37, 33, 6, 63] 0.77 days. [1] R: 5
Period 3 	 [40, 37, 33, 6, 64] 0.77 days. [1] R: 5
Period 3 	 [40, 37, 33, 19] 0.56 days. [1] R: 5
Period 3 	 [40, 37, 33, 24, 78] 0.89 days. [1] R: 5
Period 3 	 [40, 37, 33, 49, 45] 0.83 days. [1] R: 5
Period 3 	 [41, 37, 33, 2] 0.82 days. [1] R: 5
Period 3 	 [79, 37, 33, 2] 0.79 days. [1] R: 2
Period 3 	 [82, 37, 80] 0.25 days. [1] R: 2
Period 3 	 [82, 37, 33, 49, 100] 0.65 days. [1] R: 2
Period 3 	 [84, 37, 33, 19, 18] 0.54 days. [1] R: 2
Period 3 	 [87, 37, 33, 2] 0.76 days. [1] R: 5
Period 3 	 [88, 37, 33, 49] 0.65 days. [1] R: 0
Period 3 	 [89, 37, 33, 6, 65] 0.84 days. [1] R: 2
Period 3 	 [89, 37, 33, 12] 0.62 days. [1] R: 2
Period 3 	 [42, 49, 33, 6] 0.95 days. [1] R: 6
Period 3 	 [42, 49, 33, 19, 73] 0.79 days. [1] R: 6
Period 3 	 [42, 49, 33, 29] 0.80 days. [1] R: 6
Period 3 	 [44, 49, 33, 6] 0.95 days. [1] R: 0
Period 3 	 [48, 49, 33, 37] 0.81 days. [1] R: 0
Period 3 	 [48, 49] 0.27 days. [1] R: 0
Period 3 	 [50, 49, 33, 6, 9] 0.96 days. [1] R: 1
Period 3 	 [50, 49, 33, 6, 64] 0.98 days. [1] R: 1
Period 3 	 [50, 49, 33, 37, 34] 0.68 days. [1] R: 1
Period 3 	 [51, 49, 33, 2] 0.98 days. [1] R: 2
Period 3 	 [51, 49, 33] 0.48 days. [1] R: 2
Period 3 	 [51, 49, 33, 37, 96] 0.67 days. [1] R: 2
Period 3 	 [52, 49] 0.11 days. [1] R: 3
Period 3 	 [53, 49, 33, 2] 0.99 days. [1] R: 3
Period 3 	 [53, 49, 33, 29, 26] 0.86 days. [1] R: 3
Period 3 	 [53, 49, 99] 0.11 days. [1] R: 3
Period 3 	 [54, 49, 33, 2] 0.98 days. [1] R: 0
Period 3 	 [97, 49, 33, 6] 0.95 days. [1] R: 3
Period 3 	 [98, 49, 33, 12, 15] 0.87 days. [1] R: 3
Period 3 	 [98, 49, 33, 19, 20] 0.87 days. [1] R: 3
Period 3 	 [98, 49, 33, 29] 0.80 days. [1] R: 3
Period 3 	 [104, 49, 33, 2] 0.99 days. [1] R: 1
	 Repartido Periodo 1: 109.000000
	 Repartido Periodo 2: 68.000000
	 Repartido Periodo 3: 83.000000
	 Repartido Periodo 4: 0.000000
Scenario 0
	 Demandas Periodo 1: 0.000000 [0]
	 Demandas Periodo 2: 0.000000 [0]
	 Demandas Periodo 3: 0.000000 [0]
	 Demandas Periodo 4: 0.000000 [0]
Scenario 1
	 Demandas Periodo 1: 93.000000 [0]
	 Demandas Periodo 2: 106.000000 [0]
	 Demandas Periodo 3: 110.000000 [0]
	 Demandas Periodo 4: 122.000000 [0]
Scenario 2
	 Demandas Periodo 1: 104.000000 [0]
	 Demandas Periodo 2: 100.000000 [0]
	 Demandas Periodo 3: 100.000000 [0]
	 Demandas Periodo 4: 117.000000 [0]
ObjVal: 0.000000 Time: 630.172107 GAP: 0.000000
